id,season,prenda,nivel,subnivel,tipo_color_temporada,color,color_categoria,publishable,formales_informales,color_l,color_categoria_l,adventurous,application,basic,print,style,weather,talla_lookiero
22dJ1145_cafrthr0_ho,7,sweater,2,2.2,CALIDOS/VERANO,red,ROJO,True,N,d,C,three,freetime,0,horizontal_stripes,casual,warm_season,"['S', 'XS', 'L', 'M']"
21kT1246_bofrthr0_sm,7,top,2,2.1,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,three,freetime,0,smooth,boho,warm,"['S', 'M', 'L']"
21tT1246_bofrthr0_sm,7,top,2,2.1,FRIOS/INVIERNO,blue,AZUL,True,N,t,F,three,freetime,0,smooth,boho,warm,"['L', 'M', 'S']"
21nT1246_bofrthr0_sm,7,top,2,2.1,CALIDOS/VERANO,white,BLANCO,False,N,n,E,three,freetime,0,smooth,boho,warm,"['S', 'L', 'M']"
21fT1000_cafrthr0_ho,7,top,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,three,freetime,0,horizontal_stripes,casual,warm,"['L', 'XS', 'S', 'M']"
12gY126_bofrthr0_pr,7,jumpsuit,1,1.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,printed,boho,warm_season,"['M', 'S']"
22aJ1997_clwotwo0_sm,9,cardigan,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,classic,cold_season,"['L', 'M', 'S', 'XS']"
11oM164_cafrthr0_sm,7,jeans,1,1.1,CALIDOS/VERANO,green,VERDE,True,IR,o,G,three,freetime,0,smooth,casual,warm_season,"['L', 'M', 'S', 'XL', 'XXL']"
12oD1501_bofrthr0_fl,7,dress,1,1.2,CALIDOS/VERANO,green,VERDE,True,N,o,G,three,freetime,0,floral,boho,warm_season,"['XL', 'XXL', 'XXXL', 'L', 'M', 'S']"
31lK568_clwothr0_pi,7,jacket,3,3.1,FRIOS/INVIERNO,brown,MARRÓN,True,N,l,B,three,work,0,pied_de_poule,classic,warm_season,"['XL', 'L', 'M', 'S', 'XS', 'XXL']"
